ISIN,Company_Name,BSE_Scrip_Code,NSE_Symbol
INE008N01018,TIRTH PLASTIC LTD.     ,526675,
INE00ZH01011,GOVIND POY OXYGEN LTD. ,509586,
INE018S01016,RITA FINANCE AND LEASING LIMIT,543256,
INE01RN01014,STEEL STRIPS LTD.      ,504717,
INE027S01017,Tirupati Fin-Lease Ltd.,539488,
INE02BV01019,SHIKHAR LEASING & TRADING LTD.,507952,
INE043R01016,Jyot International Marketing L,542544,
INE072B01027,DATASOFT APPLICATION SOFTWARE ,526443,
INE074J01018,TRANSOCEANIC PROPERTIES LTD.  ,509003,
INE07LK01010,RIDHI SYNTHETICS LTD.  ,504365,
INE07MC01015,SATYAM SILK MILLS LTD. ,503893,
INE083O01019,HINDUSTAN HOUSING CO.LTD.     ,509650,
INE094R01019,SWASTIK SAFE DEPOSIT & INVESTM,501386,
INE095E01022,MATHER & PLATT FIRE SYSTEMS LT,532470,
INE098E01018,MIRCH TECHNOLOGIES (INDIA) LTD,505336,
INE113S01015,SUNRISE AGRO PRODUCTS LTD     ,205479,
INE122V01010,TERRAFORM MAGNUM LTD.  ,506162,
INE128G01018,Vardhan Capital & Finance Limi,542931,
INE130N01010,UNIJOLLY INVESTMENTS CO.LTD.  ,503671,
INE131O01024,SAGAR SOYA PRODUCTS LTD.      ,507663,
INE132V01019,VINAYAK VANIJYA LTD.   ,512517,
INE143F01019,ALIROX ABRASIVES LIMITED      ,202418,
INE150W01019,SREE MARUTHI MARINE IND L     ,200041,
INE157T01010,BUCKINGHAM INDUSTRIES LTD     ,205878,
INE160N01017,HEALTHY INVESTMENTS LTD.      ,503689,
INE171V01017,MAYURBHANJ TRD & AGEN LTD     ,202478,
INE174E01017,SUPRA INDUSTRIAL RES LTD      ,201059,
INE175Q01018,KUSAM ELECTRICAL INDUSTRIES LT,511048,
INE183F01015,MORNING GLORY LSNG FIN L      ,200091,
INE184S01016,Alstone Textiles (India) Ltd  ,539277,
INE187U01015,WESTERN MINISTIL LTD.  ,504998,
INE203Q01026,NOBLE POLYMERS LIMITED ,539200,
INE204V01016,GULMOHAR INVT & HOLD LTD      ,201326,
INE215Q01012,SUPER DOMESTIC MACHINES LTD.  ,531699,
INE232P01019,SIYARAM PODDAR FINANCE & TRADI,504362,
INE243P01016,BALGOPAL HOLDING & TRADERS LTD,504389,
INE249U01013,Sueryaa Knitwear Limited      ,540318,
INE255S01014,EFFICIENT INDUS FIN LTD,200251,
INE319T01016,MERCURY TRADE LINKS LTD.      ,512415,
INE320C01010,SFL International Limited     ,530867,
INE365L01016,SAUMYA CAPITAL LIMITED ,531160,
INE371U01015,SUNRISE INDUSTRIAL TRADERS LTD,501110,
INE392D01017,VIDARBHA IRON & STEEL CORPORAT,504991,
INE419C01010,REGENCY WORLD CONSUL. LTD     ,204568,
INE425H01016,ANSHUNI COMMERCIALS LTD.      ,512091,
INE429R01017,Shivkamal Impex Limited,539683,
INE442U01014,VARUN MERCANTILE LTD.  ,512511,
INE443P01020,Pervasive Commodities Limited ,517172,
INE461Y01016,INDIA RADIATORS LTD.   ,505100,
INE476T01014,SHREE KRISHNA JUTE PROD L     ,202412,
INE477E01014,CHAMPION COMMERCIAL CO L      ,202272,
INE481F01013,SHYAMAL HOLDINGS & TRADING LTD,505529,
INE495D01018,COROMANDEL AGRO PRODUCTS & OIL,507543,
INE499C01012,FRICK INDIA LIMITED    ,201926,
INE503F01014,VARDHAMAN LABORATORIES LTD.   ,524796,
INE530C01014,TEJ INFOWAYS LIMITED   ,538793,
INE552V01018,SHANTNU INVST (INDIA) LTD     ,202193,
INE553H01015,BAJAJ GLOBAL LTD.      ,512261,
INE562E01013,SOFTRAK VENTURE INVESTMENT LTD,531529,
INE582V01015,NILKANTH ENGINEERING LTD.     ,512004,
INE583O01018,OXEMBERG APPARELS LTD. ,503899,
INE603D01017,PH TRADING LTD. ,512026,
INE615W01011,PB Global Limited      ,506580,
